route_id,trip_id,stop_id,arrival_time,departure_time,shape_dist_traveled,stop_headsign,stop_name,stop_lat,stop_lon
15C,828d7a45-f4a8-41a1-bd55-5cade15b9d90,BUS553,07:00:00,07:00:00,0.0,to Campus and PMU,Circle Pines on David Ross Rd (NW Corner): BUS553,40.4353386423194,-86.9249517872901
15C,828d7a45-f4a8-41a1-bd55-5cade15b9d90,BUS554W,07:00:25,07:00:25,125.29,to Campus and PMU,Alpha Chi on David Ross Rd: BUS554W,40.4344240089908,-86.9257041469636
15C,828d7a45-f4a8-41a1-bd55-5cade15b9d90,BUS562S,07:01:27,07:01:27,420.39,to Campus and PMU,Theta Chi on Tower Dr: BUS562S,40.4331875105612,-86.9259388402664
15C,828d7a45-f4a8-41a1-bd55-5cade15b9d90,BUS472S,07:02:17,07:02:17,663.77,to Campus and PMU,Tower Dr & Hilltop Dr (SE Corner): BUS472S,40.4331915338749,-86.92314800162
15C,828d7a45-f4a8-41a1-bd55-5cade15b9d90,BUS509SW,07:02:43,07:02:43,790.18,to Campus and PMU,Tower Dr & Jischke Dr (SW Corner): BUS509SW,40.4329756160364,-86.9216929031427
15C,828d7a45-f4a8-41a1-bd55-5cade15b9d90,BUS213S,07:03:34,07:03:34,1032.5,to Campus and PMU,Steven Beering Dr & Tower Dr (SW of): BUS213S,40.432584,-86.919271
15C,828d7a45-f4a8-41a1-bd55-5cade15b9d90,BUS190,07:05:10,07:05:10,1499.02,to Campus and PMU,Armstrong Hall on Stadium Ave (@Shelter): BUS190,40.431280459838,-86.9153011986793
15C,828d7a45-f4a8-41a1-bd55-5cade15b9d90,BUS557,07:06:00,07:06:00,1736.1,to Campus and PMU,Physics Building: BUS557,40.430362,-86.913149
15C,828d7a45-f4a8-41a1-bd55-5cade15b9d90,BUS538,07:07:05,07:07:05,1985.58,to Campus and PMU,Electrical Engineering (at Shelter): BUS538,40.428627,-86.911277
15C,919efc0c-8ac4-4acc-9ffb-92b1a0804ed4,BUS553,07:08:00,07:08:00,0.0,to Campus and PMU,Circle Pines on David Ross Rd (NW Corner): BUS553,40.4353386423194,-86.9249517872901
15C,919efc0c-8ac4-4acc-9ffb-92b1a0804ed4,BUS554W,07:08:25,07:08:25,125.29,to Campus and PMU,Alpha Chi on David Ross Rd: BUS554W,40.4344240089908,-86.9257041469636
15C,919efc0c-8ac4-4acc-9ffb-92b1a0804ed4,BUS562S,07:09:27,07:09:27,420.39,to Campus and PMU,Theta Chi on Tower Dr: BUS562S,40.4331875105612,-86.9259388402664
15C,5b004421-92e1-407a-8917-f44033229e92,BUS271,07:10:00,07:10:00,0.0,to Tower Acres,Purdue Memorial Union (PMU) on MD Blvd: BUS271,40.4241243257597,-86.9118599243081
15C,828d7a45-f4a8-41a1-bd55-5cade15b9d90,BUS271,07:10:00,07:10:00,2648.53,to Campus and PMU,Purdue Memorial Union (PMU) on MD Blvd: BUS271,40.4241243257597,-86.9118599243081
15C,919efc0c-8ac4-4acc-9ffb-92b1a0804ed4,BUS472S,07:10:17,07:10:17,663.77,to Campus and PMU,Tower Dr & Hilltop Dr (SE Corner): BUS472S,40.4331915338749,-86.92314800162
15C,919efc0c-8ac4-4acc-9ffb-92b1a0804ed4,BUS509SW,07:10:43,07:10:43,790.18,to Campus and PMU,Tower Dr & Jischke Dr (SW Corner): BUS509SW,40.4329756160364,-86.9216929031427
15C,919efc0c-8ac4-4acc-9ffb-92b1a0804ed4,BUS213S,07:11:34,07:11:34,1032.5,to Campus and PMU,Steven Beering Dr & Tower Dr (SW of): BUS213S,40.432584,-86.919271
15C,5b004421-92e1-407a-8917-f44033229e92,BUS389,07:13:08,07:13:08,593.95,to Tower Acres,Beering Hall on University St (@Shelter): BUS389,40.4259026304426,-86.9166141400703
15C,919efc0c-8ac4-4acc-9ffb-92b1a0804ed4,BUS190,07:13:10,07:13:10,1499.02,to Campus and PMU,Armstrong Hall on Stadium Ave (@Shelter): BUS190,40.431280459838,-86.9153011986793
15C,919efc0c-8ac4-4acc-9ffb-92b1a0804ed4,BUS557,07:14:00,07:14:00,1736.1,to Campus and PMU,Physics Building: BUS557,40.430362,-86.913149
15C,5b004421-92e1-407a-8917-f44033229e92,BUS490SE,07:15:02,07:15:02,957.12,to Tower Acres,N University St & 5th St at PUSH: BUS490SE,40.429170902322,-86.916608775652
15C,919efc0c-8ac4-4acc-9ffb-92b1a0804ed4,BUS538,07:15:05,07:15:05,1985.58,to Campus and PMU,Electrical Engineering (at Shelter): BUS538,40.428627,-86.911277
15C,e9e3560d-88b7-43be-b5f0-b328541311f7,BUS553,07:16:00,07:16:00,0.0,to Campus and PMU,Circle Pines on David Ross Rd (NW Corner): BUS553,40.4353386423194,-86.9249517872901
15C,e9e3560d-88b7-43be-b5f0-b328541311f7,BUS554W,07:16:25,07:16:25,125.29,to Campus and PMU,Alpha Chi on David Ross Rd: BUS554W,40.4344240089908,-86.9257041469636
15C,e9e3560d-88b7-43be-b5f0-b328541311f7,BUS562S,07:17:27,07:17:27,420.39,to Campus and PMU,Theta Chi on Tower Dr: BUS562S,40.4331875105612,-86.9259388402664
15C,e9c9cb19-6397-4af7-a5e2-6dd9e97bd6a3,BUS271,07:18:00,07:18:00,0.0,to Tower Acres,Purdue Memorial Union (PMU) on MD Blvd: BUS271,40.4241243257597,-86.9118599243081
15C,919efc0c-8ac4-4acc-9ffb-92b1a0804ed4,BUS271,07:18:00,07:18:00,2648.53,to Campus and PMU,Purdue Memorial Union (PMU) on MD Blvd: BUS271,40.4241243257597,-86.9118599243081
15C,5b004421-92e1-407a-8917-f44033229e92,BUS413,07:18:02,07:18:02,1524.9,to Tower Acres,Ford Hall on Stadium Ave (North Side): BUS413,40.4315056427484,-86.9203287019515
15C,e9e3560d-88b7-43be-b5f0-b328541311f7,BUS472S,07:18:17,07:18:17,663.77,to Campus and PMU,Tower Dr & Hilltop Dr (SE Corner): BUS472S,40.4331915338749,-86.92314800162
15C,e9e3560d-88b7-43be-b5f0-b328541311f7,BUS509SW,07:18:43,07:18:43,790.18,to Campus and PMU,Tower Dr & Jischke Dr (SW Corner): BUS509SW,40.4329756160364,-86.9216929031427
15C,5b004421-92e1-407a-8917-f44033229e92,BUS509SE,07:19:24,07:19:24,1783.22,to Tower Acres,Jischke Dr & Tower Dr (SE Corner): BUS509SE,40.4328844209244,-86.9214300466436
15C,e9e3560d-88b7-43be-b5f0-b328541311f7,BUS213S,07:19:34,07:19:34,1032.5,to Campus and PMU,Steven Beering Dr & Tower Dr (SW of): BUS213S,40.432584,-86.919271
15C,5b004421-92e1-407a-8917-f44033229e92,BUS472N,07:20:17,07:20:17,1950.84,to Tower Acres,Tower Dr & Hilltop Dr (NE Corner): BUS472N,40.4332773645685,-86.9231989635944
15C,e9c9cb19-6397-4af7-a5e2-6dd9e97bd6a3,BUS389,07:21:08,07:21:08,593.95,to Tower Acres,Beering Hall on University St (@Shelter): BUS389,40.4259026304426,-86.9166141400703
15C,e9e3560d-88b7-43be-b5f0-b328541311f7,BUS190,07:21:10,07:21:10,1499.02,to Campus and PMU,Armstrong Hall on Stadium Ave (@Shelter): BUS190,40.431280459838,-86.9153011986793
15C,5b004421-92e1-407a-8917-f44033229e92,BUS562N,07:21:39,07:21:39,2208.31,to Tower Acres,Theta Chi on Tower Dr: BUS562N,40.4332438369539,-86.9261467114774
15C,e9e3560d-88b7-43be-b5f0-b328541311f7,BUS557,07:22:00,07:22:00,1736.1,to Campus and PMU,Physics Building: BUS557,40.430362,-86.913149
15C,5b004421-92e1-407a-8917-f44033229e92,BUS554E,07:22:59,07:22:59,2461.07,to Tower Acres,Alpha Chi on David Ross Rd: BUS554E,40.4343180617284,-86.9256786659764
15C,e9c9cb19-6397-4af7-a5e2-6dd9e97bd6a3,BUS490SE,07:23:02,07:23:02,957.12,to Tower Acres,N University St & 5th St at PUSH: BUS490SE,40.429170902322,-86.916608775652
15C,e9e3560d-88b7-43be-b5f0-b328541311f7,BUS538,07:23:05,07:23:05,1985.58,to Campus and PMU,Electrical Engineering (at Shelter): BUS538,40.428627,-86.911277
15C,6ad0a18d-8a23-4c42-83d1-6872b05e70eb,BUS553,07:24:00,07:24:00,0.0,to Campus and PMU,Circle Pines on David Ross Rd (NW Corner): BUS553,40.4353386423194,-86.9249517872901
15C,5b004421-92e1-407a-8917-f44033229e92,BUS553,07:24:00,07:24:00,2653.46,to Tower Acres,Circle Pines on David Ross Rd (NW Corner): BUS553,40.4353386423194,-86.9249517872901
15C,6ad0a18d-8a23-4c42-83d1-6872b05e70eb,BUS554W,07:24:25,07:24:25,125.29,to Campus and PMU,Alpha Chi on David Ross Rd: BUS554W,40.4344240089908,-86.9257041469636
