route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
13C,5bb4b9de-24ab-4fc0-a1c5-55a5bd397c09,f0795e87-fb52-4359-9b69-3c8002895a74,1a0cdb73-37a8-4b09-8f04-8a0e4acf7294,to Dorms & Dining Halls & Physics,0,
13C,5bb4b9de-24ab-4fc0-a1c5-55a5bd397c09,1c8c2500-8f0b-44d7-a579-555fde61068e,1a0cdb73-37a8-4b09-8f04-8a0e4acf7294,to Dorms & Dining Halls & Physics,0,
13C,5bb4b9de-24ab-4fc0-a1c5-55a5bd397c09,5619cf26-f922-408c-a090-3a014953ed86,b4f8be52-b956-4791-87b1-dea7a93e006b,to Dorms & Dining Halls & Physics,0,
13C,5bb4b9de-24ab-4fc0-a1c5-55a5bd397c09,56ac61d7-13fd-4183-a051-132c5033bacf,1a0cdb73-37a8-4b09-8f04-8a0e4acf7294,to Dorms & Dining Halls & Physics,0,
14C,5bb4b9de-24ab-4fc0-a1c5-55a5bd397c09,be783359-9024-41d1-8f2f-45455c718785,ecc8a433-2e3b-4b51-bb94-d5e4f337fb71,to Airport and AvTech,0,2177b0bb-a19d-49c6-9000-2cf9c1eb59d0
14C,5bb4b9de-24ab-4fc0-a1c5-55a5bd397c09,736db6c2-07b4-4e68-9085-c7cdcc722dae,ecc8a433-2e3b-4b51-bb94-d5e4f337fb71,to Airport and AvTech,0,2177b0bb-a19d-49c6-9000-2cf9c1eb59d0
14C,5bb4b9de-24ab-4fc0-a1c5-55a5bd397c09,94526e01-f5fa-40c4-a687-9befcd8638f6,ecc8a433-2e3b-4b51-bb94-d5e4f337fb71,to Airport and AvTech,0,2177b0bb-a19d-49c6-9000-2cf9c1eb59d0
14C,5bb4b9de-24ab-4fc0-a1c5-55a5bd397c09,f9fb0808-d495-472e-86ac-1fa3317c11ec,9fa4cc03-6c0f-4e00-a0f3-53a4663f0f38,to Tower Acres and Physics,1,2177b0bb-a19d-49c6-9000-2cf9c1eb59d0
14C,5bb4b9de-24ab-4fc0-a1c5-55a5bd397c09,5982745d-456f-4cc0-9122-ad3388e17a76,9fa4cc03-6c0f-4e00-a0f3-53a4663f0f38,to Tower Acres and Physics,1,2177b0bb-a19d-49c6-9000-2cf9c1eb59d0
14C,5bb4b9de-24ab-4fc0-a1c5-55a5bd397c09,6f58d39c-1095-4c4b-a0a2-311a0581d79c,9fa4cc03-6c0f-4e00-a0f3-53a4663f0f38,to Tower Acres and Physics,1,2177b0bb-a19d-49c6-9000-2cf9c1eb59d0
14C,5bb4b9de-24ab-4fc0-a1c5-55a5bd397c09,7eaddbb1-cfc9-4176-a0b7-e96c2028dfcc,ecc8a433-2e3b-4b51-bb94-d5e4f337fb71,to Airport and AvTech,0,2177b0bb-a19d-49c6-9000-2cf9c1eb59d0
14C,5bb4b9de-24ab-4fc0-a1c5-55a5bd397c09,8233ac05-5e02-4d79-8627-958dcb08ce6f,9fa4cc03-6c0f-4e00-a0f3-53a4663f0f38,to Tower Acres and Physics,1,2177b0bb-a19d-49c6-9000-2cf9c1eb59d0
14C,5bb4b9de-24ab-4fc0-a1c5-55a5bd397c09,d73291df-78b3-4ac1-aeeb-251b96ccbce1,ecc8a433-2e3b-4b51-bb94-d5e4f337fb71,to Airport and AvTech,0,2177b0bb-a19d-49c6-9000-2cf9c1eb59d0
14C,5bb4b9de-24ab-4fc0-a1c5-55a5bd397c09,09266c44-beab-43b2-bee3-7c7f3fce89e8,9fa4cc03-6c0f-4e00-a0f3-53a4663f0f38,to Tower Acres and Physics,1,2177b0bb-a19d-49c6-9000-2cf9c1eb59d0
14C,5bb4b9de-24ab-4fc0-a1c5-55a5bd397c09,29d5a6b1-fb10-420c-abf5-ddf0f414c5fa,ecc8a433-2e3b-4b51-bb94-d5e4f337fb71,to Airport and AvTech,0,2177b0bb-a19d-49c6-9000-2cf9c1eb59d0
14C,5bb4b9de-24ab-4fc0-a1c5-55a5bd397c09,d695a4f0-a43e-4144-93b9-fb17a9f7440d,9fa4cc03-6c0f-4e00-a0f3-53a4663f0f38,to Tower Acres and Physics,1,2177b0bb-a19d-49c6-9000-2cf9c1eb59d0
14C,5bb4b9de-24ab-4fc0-a1c5-55a5bd397c09,979079b5-91e0-484a-a64c-72fecfcd3d95,9fa4cc03-6c0f-4e00-a0f3-53a4663f0f38,to Tower Acres and Physics,1,2177b0bb-a19d-49c6-9000-2cf9c1eb59d0
14C,5bb4b9de-24ab-4fc0-a1c5-55a5bd397c09,1c20a103-4271-40a3-bf51-9d4cd039d029,9fa4cc03-6c0f-4e00-a0f3-53a4663f0f38,to Tower Acres and Physics,1,2177b0bb-a19d-49c6-9000-2cf9c1eb59d0
14C,5bb4b9de-24ab-4fc0-a1c5-55a5bd397c09,72cba720-4274-4b19-9bfa-6b86ad320918,ecc8a433-2e3b-4b51-bb94-d5e4f337fb71,to Airport and AvTech,0,2177b0bb-a19d-49c6-9000-2cf9c1eb59d0
